month,observed,simulated_raw,synthesised
1,0,4.1041928599999997e-11,7.286461882101889e-10
2,0,1.81811961e-07,3.227835456876399e-06
3,0,0.0006422981589999999,0.011403170397060042
4,3,0.27403438700000005,4.865124967009123
5,24,1.1211759000000001,19.90502331920455
6,4,0.6086666000000001,10.806085705749604
7,4,0.0169100648,0.3002162588165336
8,0,8.568177770000001e-06,0.0001521168786404881
9,0,2.1260080619999997e-09,3.774451453240019e-08
10,0,3.574273273e-13,6.345658415265131e-12
11,0,3.065510967e-17,5.442416955574258e-16
12,0,8.253805599999999e-21,1.4653560867673046e-19
