month,observed,simulated_raw,synthesised
1,10,0.6979771,9.172221911197079
2,5,0.5325077,6.9977636713599365
3,10,0.6203219,8.151743263748056
4,11,0.7610306,10.000817425688407
5,9,0.6876501,9.036513253023434
6,7,0.5400482999999999,7.096855828600584
7,3,0.3066892,4.030248843647597
8,2,0.1767163,2.3222554420849573
9,3,0.25530970000000003,3.355063116656912
10,5,0.3169243,4.164749830117344
11,5,0.3347784,4.399373240003863
12,2,0.405023,5.32246807973897
