month,observed,simulated_raw,synthesised
1,0,3.4155422e-08,1.3707663357452103e-07
2,0,5.49236802e-06,2.204262967484218e-05
3,0,0.015613837,0.06266332218472659
4,5,0.23843929,0.9569331389054118
5,5,0.6236311999999999,2.5028314827449307
6,5,1.0336094,4.148205136595313
7,1,1.3810829999999998,5.542727837676847
8,9,1.570165,6.301574384194048
9,2,0.8870456000000001,3.559997726717918
10,1,0.0218293294,0.08760808129793621
11,0,3.35113332e-05,0.00013449169919932716
12,0,3.55401656e-08,1.4263405257089188e-07
