TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,AUTUMN_ONSET,AUTUMN_GATE_SHARPNESS,WINTER_WIDTH,WINTER_RISE_WIDTH,WINTER_FALL_WIDTH,AUTUMN_WIDTH,AUTUMN_RISE_WIDTH,AUTUMN_FALL_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_WIDTH,SUMMER_RISE_WIDTH,SUMMER_FALL_WIDTH,SCALE
2026-05-06 10:54:17,song_thrush_observed.csv,1.159062957480391511304981861,0.419,3.066,4.011,0.025,0.289,0.284,3.12,11.94,8.21,3.009,18.229,20.000,16.458,5.589,5.205,5.973,0.159,8.47,7.861,2.88,12.842,1.772
2026-05-06 10:54:17,song_thrush_observed.csv,1.907439570158581256527185371,0.522,2.987,1.916,0.005,0.422,0.37,2.37,1.43,9.38,2.797,16.418,15.002,17.835,11.606,11.623,11.588,0.175,7.81,6.010,3.241,8.778,1.477
2026-05-06 10:54:17,song_thrush_observed.csv,2.241445690485699343051116410,0.602,1.452,3.889,0.063,0.363,0.377,1.57,10.76,6.81,6.215,11.918,17.677,6.158,3.498,2.804,4.192,0.096,8.73,5.944,6.798,5.089,1.537
2026-05-06 10:54:18,song_thrush_observed.csv,0.9813233189656090164455525308,0.46,2.195,4.409,0.004,0.418,0.227,4.0,11.41,7.72,3.361,5.815,8.278,3.352,5.055,9.121,0.989,0.017,9.87,10.913,10.227,11.599,1.152
2026-05-06 10:54:18,song_thrush_observed.csv,3.530937396352256532742764491,0.626,1.449,4.82,0.018,0.672,0.205,1.63,10.58,7.35,2.567,11.796,19.855,3.736,4.462,0.752,8.173,0.005,9.86,4.980,3.864,6.095,1.679
2026-05-06 10:54:18,song_thrush_observed.csv,1.018175375237879885138416648,0.674,2.296,0.503,0.076,0.431,0.211,2.78,10.84,9.03,7.252,9.558,13.184,5.933,7.286,4.12,10.453,0.189,8.59,3.396,1.692,5.101,1.212
2026-05-06 10:54:18,song_thrush_observed.csv,1.723770473590181251681399212,0.673,0.489,2.707,0.044,0.451,0.094,2.56,10.89,8.84,0.507,8.198,2.139,14.256,7.523,6.478,8.568,0.115,8.27,9.944,7.833,12.054,1.35
2026-05-06 10:54:19,song_thrush_observed.csv,2.739908321780602463321140232,0.701,2.765,0.521,0.037,0.022,0.305,4.37,11.65,7.32,4.989,13.030,13.442,12.619,8.509,8.555,8.463,0.171,9.74,12.602,14.000,11.203,1.703
2026-05-06 10:54:19,song_thrush_observed.csv,1.938957189822041676394932960,0.424,0.749,4.781,0.052,0.721,0.437,2.79,1.46,8.93,7.29,7.462,2.17,12.753,9.904,12.745,7.064,0.238,8.73,5.600,4.482,6.717,1.475
2026-05-06 10:54:19,song_thrush_observed.csv,1.082979850920508067663743205,0.366,0.83,5.553,0.056,0.531,0.026,3.29,10.68,10.5,2.995,11.454,12.817,10.091,2.218,2.453,1.984,0.047,7.52,8.916,5.672,12.161,1.359
2026-05-06 10:54:20,song_thrush_observed.csv,1.290686693171279642514381775,0.476,3.949,0.664,0.012,0.492,0.018,4.22,1.09,7.84,4.776,10.974,15.83,6.117,8.380,5.362,11.397,0.033,9.73,2.654,1.31,3.998,1.485
2026-05-06 10:54:20,song_thrush_observed.csv,0.9229283878572544725648271394,0.823,0.809,5.26,0.075,0.653,0.285,3.57,1.12,7.32,6.918,3.744,3.699,3.789,7.939,4.883,10.995,0.095,8.44,9.934,11.494,8.373,1.074
2026-05-06 10:54:20,song_thrush_observed.csv,1.274765715386739404155410276,0.367,1.233,2.307,0.055,0.746,0.151,1.64,10.69,9.41,4.555,3.789,3.725,3.853,8.104,5.838,10.369,0.171,9.26,11.676,12.983,10.368,1.115
2026-05-06 10:54:21,song_thrush_observed.csv,1.491310854312058429236360822,0.741,3.839,4.734,0.042,0.05,0.338,2.85,11.41,11.17,6.415,5.488,1.813,9.162,7.761,6.728,8.794,0.077,9.78,10.584,12.833,8.335,1.642
2026-05-06 10:54:21,song_thrush_observed.csv,1.555358822624538667188500720,0.891,0.911,0.751,0.038,0.687,0.11,1.74,11.32,10.0,1.285,18.706,20.000,17.411,10.062,10.742,9.383,0.08,8.82,8.354,6.096,10.613,1.029
2026-05-06 10:54:21,song_thrush_observed.csv,0.4585499782043367189048627586,0.389,1.868,1.148,0.021,0.298,0.376,4.03,11.04,6.79,3.664,3.256,5.538,0.973,10.836,10.825,10.847,0.092,10.02,6.127,2.487,9.767,1.173
2026-05-06 10:54:21,song_thrush_observed.csv,2.377267855642539698136050397,0.475,3.622,2.498,0.038,0.015,0.018,1.51,1.39,10.43,6.603,4.061,1.454,6.668,3.510,0.471,6.55,0.015,9.9,5.273,3.404,7.142,0.892
2026-05-06 10:54:22,song_thrush_observed.csv,2.044629679851459963106886395,0.914,3.157,1.487,0.036,0.041,0.248,3.23,11.9,7.01,3.757,18.166,19.861,16.472,8.635,6.24,11.03,0.01,9.68,7.267,12.534,2.0,0.922
2026-05-06 10:54:22,song_thrush_observed.csv,1.559470921366218271986388405,0.409,1.859,0.881,0.019,0.182,0.368,4.14,1.09,7.76,1.913,4.364,4.411,4.316,7.931,7.681,8.181,0.231,8.73,9.076,8.71,9.441,1.436
2026-05-06 10:54:22,song_thrush_observed.csv,0.9187691747319074977240742356,0.732,0.921,5.063,0.082,0.491,0.243,3.34,11.2,9.2,3.895,9.932,17.612,2.253,6.366,11.972,0.759,0.053,7.95,3.438,1.16,5.716,1.367
2026-05-06 10:54:23,song_thrush_observed.csv,1.462804170534737655853814882,0.348,2.668,5.434,0.042,0.746,0.09,2.55,1.41,10.8,1.071,13.838,18.077,9.598,10.990,13.577,8.404,0.082,10.39,11.246,11.88,10.613,1.342
2026-05-06 10:54:23,song_thrush_observed.csv,0.8258087610694135149276059713,0.666,1.534,1.982,0.02,0.465,0.022,2.58,11.46,8.57,2.402,2.801,4.981,0.621,7.930,4.434,11.425,0.222,9.81,7.462,7.627,7.297,1.001
2026-05-06 10:54:23,song_thrush_observed.csv,1.341739708423633505907558573,0.809,2.348,5.989,0.038,0.443,0.382,1.91,11.66,8.62,2.016,2.669,1.285,4.053,12.386,12.867,11.906,0.09,9.91,5.027,5.229,4.825,1.061
2026-05-06 10:54:24,song_thrush_observed.csv,0.9486294688590741154680646263,0.591,1.473,3.721,0.085,0.149,0.084,2.3,11.16,6.99,4.657,9.720,12.552,6.888,4.858,0.524,9.191,0.192,8.52,10.071,13.329,6.813,1.672
2026-05-06 10:54:24,song_thrush_observed.csv,0.9145117366947384084387554106,0.411,1.198,1.305,0.088,0.627,0.324,4.36,1.15,6.52,2.452,18.634,17.269,20.000,10.616,10.139,11.094,0.17,10.25,4.540,4.118,4.962,1.069
2026-05-06 10:54:24,song_thrush_observed.csv,1.947867819462201546315973311,0.53,2.491,1.213,0.014,0.059,0.019,1.52,10.72,10.63,3.09,4.656,4.181,5.132,6.933,11.33,2.536,0.233,10.14,8.174,11.554,4.793,1.115
2026-05-06 10:54:25,song_thrush_observed.csv,1.360418117531579607894479703,0.429,1.715,5.106,0.038,0.227,0.379,2.87,11.81,9.42,4.22,12.468,13.337,11.6,4.898,4.474,5.321,0.2,9.91,11.931,12.963,10.899,0.972
2026-05-06 10:54:25,song_thrush_observed.csv,1.004547504883095996869975749,0.584,1.746,5.037,0.077,0.316,0.142,4.05,1.2,7.17,5.808,14.576,17.804,11.348,8.400,4.611,12.189,0.113,8.07,7.998,6.988,9.009,1.446
2026-05-06 10:54:25,song_thrush_observed.csv,1.542232677236287262885592311,0.416,0.432,1.489,0.029,0.484,0.095,4.29,10.77,10.97,2.946,15.600,18.172,13.029,8.912,6.551,11.273,0.248,10.34,10.782,11.899,9.664,0.867
2026-05-06 10:54:25,song_thrush_observed.csv,0.9748172615909716174248034486,0.47,2.704,4.852,0.044,0.59,0.31,3.48,1.38,7.8,6.126,15.429,13.044,17.814,9.344,9.303,9.385,0.065,7.79,7.374,10.127,4.62,1.773
2026-05-06 10:54:26,song_thrush_observed.csv,0.8049773712170420573464485052,0.349,1.333,1.122,0.085,0.281,0.353,2.31,11.59,9.7,3.795,9.626,14.432,4.819,7.316,1.974,12.657,0.199,8.22,8.494,9.315,7.672,1.002
2026-05-06 10:54:26,song_thrush_observed.csv,1.168322001164120213353296377,0.568,0.891,1.378,0.062,0.449,0.25,2.54,10.61,10.49,2.057,10.876,3.16,18.591,6.997,11.813,2.181,0.216,8.21,12.604,11.776,13.431,0.852
2026-05-06 10:54:26,song_thrush_observed.csv,1.184727214845685377239552369,0.855,3.254,4.977,0.081,0.438,0.429,4.34,11.89,8.19,7.774,14.088,13.688,14.488,8.226,9.088,7.363,0.231,10.17,5.641,8.605,2.677,1.262
2026-05-06 10:54:27,song_thrush_observed.csv,1.927280614727098115465009362,0.805,1.156,1.354,0.037,0.388,0.087,2.5,11.04,10.43,3.74,9.567,2.035,17.099,11.273,10.139,12.407,0.156,8.14,12.966,14.000,11.932,1.446
2026-05-06 10:54:27,song_thrush_observed.csv,1.625442328457474683697797006,0.419,3.911,1.302,0.043,0.081,0.118,1.51,10.72,7.55,2.329,5.421,4.755,6.087,7.821,11.667,3.975,0.217,9.11,2.390,3.41,1.369,1.125
2026-05-06 10:54:27,song_thrush_observed.csv,0.8081205267445087002351281004,0.555,0.469,0.684,0.057,0.697,0.298,2.41,11.48,8.6,1.155,4.486,4.747,4.225,4.044,5.776,2.313,0.176,8.4,5.592,2.981,8.203,0.808
2026-05-06 10:54:28,song_thrush_observed.csv,1.151231928901864003515094838,0.579,1.129,1.684,0.061,0.203,0.388,4.27,11.12,7.95,4.915,10.401,3.05,17.752,4.560,4.664,4.456,0.156,8.42,0.472,0.529,0.414,1.434
2026-05-06 10:54:28,song_thrush_observed.csv,1.816356400741199891630704886,0.476,1.045,3.531,0.09,0.266,0.225,3.04,10.8,9.93,4.808,14.300,14.314,14.285,9.768,10.631,8.906,0.019,8.59,10.843,13.216,8.47,0.818
2026-05-06 10:54:28,song_thrush_observed.csv,2.176573185015961844201700586,0.499,2.366,1.108,0.023,0.003,0.206,2.76,11.77,8.79,1.905,11.962,12.524,11.401,4.114,5.101,3.128,0.225,9.99,4.750,8.188,1.312,1.652
2026-05-06 10:54:28,song_thrush_observed.csv,2.174726338066890203960136679,0.831,1.715,2.421,0.069,0.531,0.378,2.15,1.45,7.88,1.791,9.946,4.775,15.117,7.978,2.725,13.232,0.066,9.3,11.726,11.782,11.669,1.437
2026-05-06 10:54:29,song_thrush_observed.csv,1.448266408918381651940175421,0.886,2.726,3.163,0.071,0.513,0.27,3.37,11.31,7.8,3.181,10.974,5.63,16.318,1.430,0.818,2.041,0.027,10.26,10.034,11.05,9.018,0.873
