TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,WINTER_WIDTH,WINTER_RISE_WIDTH,WINTER_FALL_WIDTH,AUTUMN_WIDTH,AUTUMN_RISE_WIDTH,AUTUMN_FALL_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_WIDTH,SUMMER_RISE_WIDTH,SUMMER_FALL_WIDTH,SCALE
2026-05-06 09:42:15,house_sparrow_observed.csv,1.297088941438754822240801290,0.861,2.329,1.351,0.223,0.312,0.45,3.62,10.69,11.440,18.361,4.52,5.154,1.114,9.194,0.059,9.15,12.200,12.591,11.808,1.078
2026-05-06 09:42:15,house_sparrow_observed.csv,0.9741704555620383492942596658,0.928,1.062,3.302,0.176,0.298,0.206,3.78,1.09,3.964,3.825,4.103,8.657,11.61,5.704,0.181,10.77,8.463,11.592,5.334,1.231
2026-05-06 09:42:16,house_sparrow_observed.csv,1.406142851114350924894710176,0.754,2.214,4.552,0.492,0.182,0.282,5.53,10.83,2.180,4.006,0.353,9.445,12.755,6.135,0.038,10.83,9.442,6.038,12.847,1.584
2026-05-06 09:42:16,house_sparrow_observed.csv,2.436086902027637900323310939,0.571,1.312,2.666,0.576,0.6,0.169,5.62,1.17,17.284,16.453,18.115,7.364,13.321,1.408,0.014,10.7,10.394,10.781,10.006,1.17
2026-05-06 09:42:16,house_sparrow_observed.csv,1.046976140578128774563812429,1.074,1.538,1.855,0.123,0.33,0.335,4.94,11.42,7.507,7.013,8.001,2.742,2.369,3.116,0.237,9.34,8.084,8.354,7.813,1.449
2026-05-06 09:42:17,house_sparrow_observed.csv,1.676604003964148289775249976,0.989,2.484,5.677,0.617,0.614,0.111,3.69,11.53,9.008,15.398,2.618,4.262,5.276,3.247,0.016,10.49,4.916,1.074,8.759,1.789
2026-05-06 09:42:17,house_sparrow_observed.csv,0.7751908531913565649454237981,0.74,3.828,5.908,0.583,0.549,0.393,5.5,11.08,10.048,11.95,8.147,7.611,6.096,9.126,0.167,8.66,6.702,8.065,5.339,1.611
2026-05-06 09:42:17,house_sparrow_observed.csv,0.6057270089100696763986933404,0.791,1.306,0.716,0.441,0.682,0.236,3.66,10.65,9.136,16.168,2.105,5.800,2.619,8.98,0.092,10.99,9.104,6.521,11.687,1.658
2026-05-06 09:42:17,house_sparrow_observed.csv,1.677223197818788233848936907,0.827,1.415,4.698,0.687,0.394,0.391,6.47,11.54,7.822,13.403,2.241,9.733,6.528,12.938,0.026,11.0,10.534,13.533,7.536,1.439
2026-05-06 09:42:18,house_sparrow_observed.csv,0.7912452047040641492956337415,0.866,1.568,5.93,0.151,0.453,0.378,3.92,11.05,10.196,17.461,2.93,3.776,1.064,6.488,0.198,10.96,7.728,7.820,7.635,1.61
2026-05-06 09:42:18,house_sparrow_observed.csv,3.324137087089136625394413938,0.517,2.846,3.171,0.259,0.725,0.007,5.97,10.65,14.764,13.627,15.9,10.262,12.086,8.439,0.039,9.31,2.982,3.078,2.885,0.86
2026-05-06 09:42:18,house_sparrow_observed.csv,2.667928104633806835825767410,0.773,1.734,3.497,0.64,0.599,0.409,4.26,10.78,12.179,8.449,15.909,10.922,10.677,11.168,0.017,9.2,7.146,5.224,9.069,1.39
2026-05-06 09:42:19,house_sparrow_observed.csv,1.166603111449455297375947902,0.591,3.878,1.033,0.205,0.229,0.161,6.36,1.14,9.370,2.947,15.794,4.781,1.523,8.039,0.082,11.26,2.834,4.192,1.476,1.49
2026-05-06 09:42:19,house_sparrow_observed.csv,2.074290503187310809808366235,0.687,2.996,3.024,0.275,0.078,0.291,5.5,11.15,14.894,14.909,14.879,7.136,12.239,2.034,0.054,10.29,11.652,12.935,10.368,1.332
2026-05-06 09:42:19,house_sparrow_observed.csv,1.397341021474340041262298465,0.911,3.133,3.01,0.674,0.533,0.388,5.1,11.84,4.110,2.526,5.693,12.726,13.298,12.154,0.214,11.02,9.708,7.005,12.41,0.836
2026-05-06 09:42:20,house_sparrow_observed.csv,0.3081745226588601196211689941,0.527,2.62,0.619,0.624,0.06,0.011,5.24,10.78,11.308,11.111,11.504,12.522,13.494,11.549,0.121,10.81,11.932,10.296,13.568,1.263
2026-05-06 09:42:20,house_sparrow_observed.csv,0.8108945748655018663700821007,0.561,1.519,2.675,0.183,0.676,0.271,5.95,1.16,7.762,7.785,7.739,9.637,7.236,12.038,0.184,10.62,10.926,11.479,10.373,1.753
2026-05-06 09:42:20,house_sparrow_observed.csv,1.137128995814906015303152769,0.977,0.756,1.26,0.348,0.712,0.24,3.94,11.55,7.650,10.073,5.226,3.985,7.047,0.923,0.082,9.04,2.416,2.065,2.768,1.768
2026-05-06 09:42:20,house_sparrow_observed.csv,2.150711332693801315140104110,0.802,2.347,4.189,0.515,0.363,0.09,6.15,10.98,16.683,16.412,16.954,6.326,11.634,1.019,0.023,9.49,8.084,2.867,13.301,1.076
2026-05-06 09:42:21,house_sparrow_observed.csv,3.607939557790774399879401176,0.606,1.754,3.646,0.16,0.326,0.426,4.51,1.34,7.878,4.774,10.982,7.796,8.432,7.161,0.213,9.87,2.846,2.826,2.866,1.719
2026-05-06 09:42:21,house_sparrow_observed.csv,1.337707700310050472800240223,1.035,1.102,2.265,0.306,0.013,0.238,3.79,1.4,10.224,18.628,1.82,5.639,1.91,9.368,0.163,8.78,8.390,6.883,9.897,1.423
2026-05-06 09:42:21,house_sparrow_observed.csv,1.011070891636914051150231071,0.551,1.037,0.634,0.378,0.169,0.167,6.02,11.74,8.448,16.502,0.394,8.330,5.732,10.927,0.07,9.07,4.822,4.605,5.039,0.889
2026-05-06 09:42:22,house_sparrow_observed.csv,1.835422352082174616653551718,0.566,3.355,5.865,0.505,0.225,0.231,4.01,10.65,16.558,18.102,15.015,5.648,10.16,1.135,0.055,9.31,4.790,4.841,4.738,1.177
2026-05-06 09:42:22,house_sparrow_observed.csv,0.5523014527304990975977134449,0.876,1.052,5.505,0.405,0.592,0.159,5.61,1.23,9.958,9.500,10.417,6.176,7.124,5.228,0.195,10.34,6.424,7.33,5.518,1.347
2026-05-06 09:42:22,house_sparrow_observed.csv,1.068855954251668627219280786,0.741,1.072,3.522,0.42,0.391,0.003,3.98,1.07,10.514,11.254,9.774,5.256,2.925,7.588,0.204,9.52,4.694,0.387,9.0,1.447
2026-05-06 09:42:23,house_sparrow_observed.csv,2.092625073093514089738504963,0.855,2.085,4.998,0.337,0.621,0.37,4.67,11.19,10.423,4.91,15.936,7.994,5.814,10.173,0.095,9.77,4.737,3.241,6.233,0.843
