TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,AUTUMN_ONSET,AUTUMN_GATE_SHARPNESS,WINTER_WIDTH,WINTER_RISE_WIDTH,WINTER_FALL_WIDTH,AUTUMN_WIDTH,AUTUMN_RISE_WIDTH,AUTUMN_FALL_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_WIDTH,SUMMER_RISE_WIDTH,SUMMER_FALL_WIDTH,SCALE,YEAR_END_WEIGHT,YEAR_END_PEAK,YEAR_END_WIDTH,YEAR_END_RISE_WIDTH,YEAR_END_FALL_WIDTH
2026-05-06 21:48:12,blue_tit_observed.csv,1.220204781934355956716494809,0.841,2.192,3.793,0.274,0.516,0.019,1.79,10.67,10.63,3.155,8.570,6.832,10.309,8.456,10.907,6.004,0.141,6.84,9.027,8.603,9.451,1.637,0.006,12.015,47.774,88.548,6.999
2026-05-06 21:48:12,blue_tit_observed.csv,1.006071139284330136822671378,1.126,0.575,0.567,0.128,0.028,0.029,3.87,1.4,10.3,6.736,10.806,13.239,8.372,5.945,1.845,10.045,0.137,7.07,10.512,9.649,11.376,0.89,0.066,12.067,105.135,199.031,11.239
2026-05-06 21:48:12,blue_tit_observed.csv,0.7821007915925474492431749406,0.739,1.561,1.052,0.175,0.557,0.037,2.04,1.12,8.94,10.694,7.322,11.936,2.708,1.530,1.35,1.71,0.18,7.91,8.125,3.58,12.67,1.519,0.191,12.251,51.260,86.586,15.935
2026-05-06 21:48:13,blue_tit_observed.csv,1.550131129940152323779190258,0.963,0.444,1.934,0.292,0.203,0.04,2.72,10.92,10.24,2.504,13.553,19.555,7.551,8.028,12.202,3.853,0.04,6.98,6.630,3.232,10.029,0.971,0.097,12.24,87.508,168.618,6.399
2026-05-06 21:48:13,blue_tit_observed.csv,0.7026537746166760970830042233,0.991,1.57,3.634,0.348,0.492,0.01,4.22,11.36,10.6,10.214,8.102,10.064,6.139,5.302,6.82,3.783,0.148,6.31,8.471,8.762,8.180,1.445,0.224,12.198,80.942,150.253,11.632
2026-05-06 21:48:13,blue_tit_observed.csv,0.1991954682923379645092754403,1.239,2.663,5.706,0.415,0.523,0.042,1.98,1.16,8.53,8.857,5.721,9.237,2.205,3.539,3.741,3.337,0.164,7.58,4.276,5.667,2.886,1.521,0.287,12.206,59.163,102.995,15.331
2026-05-06 21:48:13,blue_tit_observed.csv,0.6907950163273790911011016727,0.94,0.57,1.165,0.104,0.543,0.041,2.12,1.43,11.42,10.55,11.691,11.23,12.152,5.699,8.76,2.638,0.142,7.55,1.632,2.534,0.73,1.008,0.295,12.13,87.014,163.557,10.47
2026-05-06 21:48:14,blue_tit_observed.csv,0.4292532385818896370899453695,0.643,2.003,3.361,0.073,0.509,0.048,2.29,11.99,8.35,8.387,15.323,15.829,14.817,11.745,13.898,9.592,0.225,6.51,12.141,13.767,10.515,1.361,0.021,12.21,90.512,173.647,7.378
2026-05-06 21:48:14,blue_tit_observed.csv,0.3262727314696611531414257632,1.186,2.032,2.277,0.31,0.188,0.028,3.23,10.9,8.99,5.555,4.418,3.315,5.521,6.208,3.044,9.373,0.187,5.68,5.288,7.908,2.667,1.694,0.013,12.275,84.440,152.924,15.957
2026-05-06 21:48:14,blue_tit_observed.csv,0.6036010677136426811499530844,1.068,0.998,2.143,0.263,0.44,0.002,3.41,11.26,9.32,5.361,7.059,4.112,10.006,9.030,10.76,7.299,0.237,8.44,12.625,14.000,11.250,1.08,0.166,12.294,64.603,118.605,10.601
2026-05-06 21:48:15,blue_tit_observed.csv,0.9926091797126497367767880139,0.997,2.507,3.603,0.492,0.381,0.044,2.42,11.28,10.15,3.528,10.610,6.217,15.003,7.831,2.016,13.646,0.219,8.36,5.922,5.742,6.103,1.767,0.216,12.061,74.071,134.576,13.566
2026-05-06 21:48:15,blue_tit_observed.csv,0.2784125560085226270245632975,0.676,1.292,1.818,0.537,0.435,0.011,2.2,11.75,10.31,11.491,17.498,19.19,15.806,10.870,11.013,10.728,0.1,6.36,2.538,2.069,3.007,1.374,0.302,12.164,84.590,155.345,13.835
2026-05-06 21:48:15,blue_tit_observed.csv,0.5497071072945896319923173420,1.072,1.722,3.757,0.47,0.116,0.049,4.46,11.98,9.1,6.957,13.180,17.923,8.436,3.933,0.484,7.382,0.165,6.08,12.590,11.179,14.000,1.572,0.255,12.124,86.088,165.734,6.441
2026-05-06 21:48:16,blue_tit_observed.csv,1.530350661622889867486391834,1.065,0.456,4.907,0.296,0.171,0.031,3.69,1.01,8.67,9.798,6.434,1.5,11.367,10.160,8.293,12.026,0.104,6.5,11.939,11.673,12.205,1.094,0.014,12.267,78.560,142.849,14.272
2026-05-06 21:48:16,blue_tit_observed.csv,0.6189077252491290982659492251,0.706,2.93,5.708,0.538,0.109,0.017,3.2,1.04,9.55,2.441,12.231,10.566,13.896,5.746,5.457,6.034,0.108,5.54,5.866,6.034,5.697,1.121,0.022,12.242,48.911,83.751,14.071
2026-05-06 21:48:16,blue_tit_observed.csv,0.7474339365466462288739777533,0.707,1.961,5.008,0.493,0.074,0.018,3.09,11.33,11.33,5.883,11.328,14.108,8.547,12.179,12.185,12.173,0.22,7.53,6.855,10.352,3.358,1.451,0.063,12.251,44.603,83.628,5.578
2026-05-06 21:48:17,blue_tit_observed.csv,0.4471622149011657550650642490,0.73,2.314,4.91,0.511,0.273,0.017,3.57,10.73,11.43,2.711,6.002,4.933,7.072,6.294,4.328,8.259,0.013,7.33,9.054,9.344,8.765,1.592,0.326,12.076,45.597,80.298,10.896
