TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,WINTER_WIDTH,WINTER_RISE_WIDTH,WINTER_FALL_WIDTH,AUTUMN_WIDTH,AUTUMN_RISE_WIDTH,AUTUMN_FALL_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_WIDTH,SUMMER_RISE_WIDTH,SUMMER_FALL_WIDTH,SCALE
2026-05-06 09:39:11,dunnock_observed.csv,1.540438497983097089330524482,1.064,2.575,3.95,0.064,0.486,0.365,2.55,1.46,13.208,8.085,18.331,9.142,8.321,9.964,0.225,8.09,13.034,12.376,13.692,1.557
2026-05-06 09:39:11,dunnock_observed.csv,1.390287804640922783153816430,0.571,2.445,0.7,0.114,0.041,0.445,1.84,10.84,9.105,8.958,9.252,3.193,5.38,1.006,0.19,9.82,9.626,8.378,10.873,1.228
2026-05-06 09:39:11,dunnock_observed.csv,0.5944575536186958757342152066,0.89,3.778,4.925,0.378,0.289,0.275,2.72,10.83,5.998,4.104,7.892,11.948,12.439,11.457,0.154,10.12,1.129,1.87,0.388,1.64
2026-05-06 09:39:12,dunnock_observed.csv,2.093758496918119007440182341,0.563,3.863,0.663,0.162,0.121,0.39,3.41,11.65,10.030,8.438,11.622,7.366,8.285,6.448,0.021,8.99,7.032,10.914,3.149,1.645
2026-05-06 09:39:12,dunnock_observed.csv,0.7335136120644534556016824558,0.598,3.665,5.271,0.371,0.389,0.399,3.25,11.45,5.901,5.031,6.771,5.884,9.133,2.635,0.199,10.07,4.710,4.236,5.184,1.642
2026-05-06 09:39:12,dunnock_observed.csv,2.428892586935013465645759002,0.907,2.229,4.868,0.108,0.607,0.317,1.68,1.5,4.770,8.988,0.551,6.846,2.761,10.932,0.019,9.03,6.632,10.765,2.499,1.591
2026-05-06 09:39:13,dunnock_observed.csv,0.6353388482661362477126905814,0.801,3.715,3.652,0.42,0.035,0.331,4.48,10.69,4.720,8.816,0.623,11.072,13.502,8.641,0.173,8.85,8.640,9.289,7.991,1.515
2026-05-06 09:39:13,dunnock_observed.csv,1.422756076782749378094873585,0.571,2.112,4.532,0.333,0.59,0.315,1.95,1.41,8.536,9.230,7.841,9.225,8.865,9.585,0.085,8.67,7.318,7.940,6.695,1.6
2026-05-06 09:39:13,dunnock_observed.csv,2.021701495922614330837840306,1.035,2.412,1.734,0.189,0.572,0.149,1.68,11.47,5.342,4.611,6.074,11.601,13.651,9.551,0.191,9.74,9.624,8.684,10.565,1.671
2026-05-06 09:39:13,dunnock_observed.csv,2.303450615545983846214614160,0.967,0.253,5.5,0.089,0.159,0.167,2.94,1.11,15.666,13.947,17.385,6.038,1.904,10.171,0.108,8.05,5.852,9.483,2.221,1.053
2026-05-06 09:39:14,dunnock_observed.csv,1.125390147961355923553686334,1.04,1.404,1.314,0.184,0.516,0.445,4.23,11.77,7.969,10.877,5.061,5.502,0.359,10.644,0.03,10.26,13.176,14.000,12.351,0.934
2026-05-06 09:39:14,dunnock_observed.csv,1.043865068801460539720980335,0.666,1.93,4.145,0.235,0.009,0.291,4.36,11.9,10.461,11.366,9.556,7.630,2.581,12.68,0.118,10.28,1.084,0.678,1.489,1.612
2026-05-06 09:39:14,dunnock_observed.csv,1.422525442011483703024213442,0.915,1.643,3.031,0.332,0.042,0.367,2.47,11.56,5.422,10.285,0.56,9.217,6.108,12.326,0.204,9.4,11.892,10.334,13.45,0.874
2026-05-06 09:39:15,dunnock_observed.csv,0.9624681276055878355654223046,1.072,1.289,1.243,0.378,0.281,0.248,3.3,10.82,4.576,5.071,4.08,6.260,3.61,8.91,0.011,7.94,12.858,11.809,13.906,1.795
2026-05-06 09:39:15,dunnock_observed.csv,1.474588174006782051789972160,0.944,3.051,2.229,0.085,0.192,0.318,3.64,1.42,4.516,1.926,7.106,4.352,3.665,5.038,0.02,8.43,12.490,12.174,12.807,1.687
2026-05-06 09:39:15,dunnock_observed.csv,0.6774302033151721603005732722,0.761,2.22,0.675,0.066,0.489,0.212,4.37,11.16,8.181,8.486,7.876,6.038,1.528,10.548,0.198,7.58,10.691,11.736,9.646,1.132
2026-05-06 09:39:15,dunnock_observed.csv,1.096439215557777645667219567,0.693,1.211,2.762,0.347,0.261,0.421,2.49,11.32,9.137,10.596,7.678,3.126,2.908,3.345,0.003,8.59,6.666,10.061,3.272,1.031
2026-05-06 09:39:16,dunnock_observed.csv,0.7415847364325660124879038591,0.536,0.954,1.604,0.303,0.602,0.322,3.99,1.49,3.467,6.078,0.856,4.140,6.766,1.514,0.109,9.36,9.992,7.546,12.438,1.564
2026-05-06 09:39:16,dunnock_observed.csv,0.6010783914450913460245999914,0.656,2.374,0.543,0.229,0.33,0.08,3.58,11.66,10.112,8.769,11.454,7.556,2.073,13.039,0.151,7.71,9.544,5.472,13.615,1.155
2026-05-06 09:39:16,dunnock_observed.csv,1.821682024827435652268228783,0.831,0.449,3.513,0.057,0.024,0.231,2.6,11.23,6.842,2.627,11.058,2.929,2.207,3.651,0.087,7.65,8.988,7.314,10.662,1.261
2026-05-06 09:39:17,dunnock_observed.csv,2.178324712209891481165505909,0.949,0.728,4.012,0.057,0.081,0.422,3.64,1.1,5.758,4.672,6.843,10.740,9.434,12.047,0.099,10.15,2.419,0.65,4.188,0.976
2026-05-06 09:39:17,dunnock_observed.csv,0.8041241120691581834553847305,0.706,3.997,1.894,0.392,0.64,0.001,3.11,11.07,12.805,10.848,14.762,6.512,7.282,5.743,0.133,9.15,7.036,11.89,2.181,1.581
