month,observed,simulated_raw,synthesised
1,36,0.3164736,44.90493529130724
2,50,0.2130682,30.232580959787196
3,63,0.36738919999999997,52.12942960400214
4,51,0.3870434,54.918194857098804
5,45,0.24943660000000004,35.39295025646275
6,39,0.11981436999999999,17.000648811840048
7,12,0.041167419999999996,5.84130976868234
8,3,0.004838066,0.6864807701655798
9,2,0.0148749054,2.1106236490225934
10,4,0.14934117,21.19025275782281
11,17,0.2579332,36.598546151969096
12,20,0.19636130000000002,27.862012724653713
