month,observed,simulated_raw,synthesised
1,21,0.15399981000000001,19.292415901476474
2,31,0.11443509999999998,14.335923810081649
3,52,0.3110292,38.96436420216042
4,58,0.49918110000000004,62.53520307172144
5,55,0.3235023,40.52693907014699
6,47,0.09955727,12.472094990608019
7,11,0.010529400999999999,1.319076843571575
8,1,0.0011999307000000001,0.1503220173930721
9,3,0.07677129,9.617568073446726
10,1,0.22860930000000002,28.639163220691024
11,12,0.23723429999999998,29.719665119688393
12,7,0.12784785,16.01621387915725
