TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,WINTER_WIDTH,AUTUMN_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_WIDTH,SCALE
2026-05-05 18:00:45,robin_observed.csv,0.3041775997146740545223978586,0.791,1.472,0.463,0.242,0.434,0.229,1.32,1.08,2.139,1.774,0.147,7.84,2.88,1.187
2026-05-05 18:00:45,robin_observed.csv,0.4753236436878296070165021064,0.459,1.085,2.237,0.291,0.675,0.153,2.08,11.72,2.958,3.278,0.018,7.62,2.451,1.369
2026-05-05 18:00:45,robin_observed.csv,0.3672502336545300815638039699,0.768,1.31,1.107,0.069,0.878,0.0,11.92,10.95,0.913,3.637,0.301,8.11,1.878,1.057
2026-05-05 18:00:46,robin_observed.csv,0.4009956800667533842947432426,0.827,0.973,1.088,0.536,1.088,0.014,2.33,1.46,3.411,5.63,0.318,6.24,1.672,1.285
2026-05-05 18:00:46,robin_observed.csv,0.7357441111745880631050941397,1.721,1.331,2.314,0.559,0.558,0.3,1.31,1.2,2.421,5.698,0.026,7.87,4.578,1.025
2026-05-05 18:00:46,robin_observed.csv,0.5768299068347676681032538108,1.317,0.548,1.872,0.38,0.869,0.217,1.01,11.93,0.972,2.427,0.197,6.63,3.889,1.686
2026-05-05 18:00:46,robin_observed.csv,0.5063280630410423638454387485,1.187,1.304,1.541,0.064,0.874,0.228,2.15,11.85,3.48,4.973,0.097,7.81,1.383,1.375
2026-05-05 18:00:47,robin_observed.csv,0.9511797976037666389282235106,1.711,0.882,2.343,0.322,0.419,0.029,1.19,11.54,4.756,2.485,0.099,8.22,3.011,1.234
2026-05-05 18:00:47,robin_observed.csv,0.4611373205398451997566357071,1.801,1.04,0.683,0.124,0.937,0.134,1.18,1.02,1.181,4.173,0.121,5.8,1.433,0.973
2026-05-05 18:00:47,robin_observed.csv,0.3020758655219091069683221584,1.25,0.817,1.336,0.531,0.859,0.259,2.1,11.56,1.567,4.643,0.233,6.13,4.715,1.146
2026-05-05 18:00:48,robin_observed.csv,1.084255901844804535853209088,1.791,0.951,2.315,0.125,0.26,0.155,1.67,1.35,3.621,2.259,0.093,7.49,3.954,1.046
2026-05-05 18:00:48,robin_observed.csv,0.4304907276455367069493494012,0.743,0.713,1.114,0.54,0.901,0.218,1.14,1.05,3.368,2.638,0.19,7.89,3.716,1.697
2026-05-05 18:00:48,robin_observed.csv,0.2388341652871111111562047993,1.135,0.818,0.636,0.431,0.34,0.174,2.0,11.94,1.724,2.359,0.335,7.04,4.623,1.194
2026-05-05 18:00:49,robin_observed.csv,0.5839855200046065339233878416,0.766,0.806,1.245,0.232,0.131,0.201,1.94,11.4,2.252,1.668,0.105,7.29,4.706,0.865
2026-05-05 18:00:49,robin_observed.csv,0.3406044042074408420995540868,0.795,0.161,0.947,0.497,0.694,0.32,2.1,10.85,1.423,5.179,0.154,8.18,3.968,1.226
2026-05-05 18:00:49,robin_observed.csv,0.3276767637433050600592645949,1.591,1.229,1.678,0.289,0.661,0.331,2.1,11.86,0.939,2.255,0.21,5.64,3.819,1.388
2026-05-05 18:00:49,robin_observed.csv,0.6013868353897335980166188305,1.307,0.748,1.754,0.363,0.027,0.061,1.16,10.61,1.182,2.886,0.294,7.67,2.118,1.338
2026-05-05 18:00:50,robin_observed.csv,0.3150786493979453257370416902,0.704,0.861,1.058,0.461,0.828,0.292,1.55,11.26,2.711,3.227,0.265,7.65,2.916,1.386
2026-05-05 18:00:50,robin_observed.csv,0.3814394497169454596071043608,0.547,1.207,1.993,0.325,0.709,0.335,1.43,11.3,2.247,3.447,0.165,8.42,3.717,1.186
2026-05-05 18:00:50,robin_observed.csv,0.4835123967237447693605314486,1.483,0.625,1.785,0.298,1.141,0.089,2.05,11.35,1.419,2.277,0.111,6.67,2.122,1.552
2026-05-05 18:00:51,robin_observed.csv,0.4653423432652184353351041742,1.403,1.311,0.883,0.523,0.599,0.001,1.48,11.52,3.418,3.959,0.126,6.01,3.706,1.259
2026-05-05 18:00:51,robin_observed.csv,0.5524517239003770429089919509,1.67,0.166,0.323,0.487,0.387,0.238,1.65,11.14,2.237,4.489,0.1,5.81,2.647,1.618
2026-05-05 18:00:51,robin_observed.csv,1.211969815383049496705864971,1.836,0.886,1.726,0.158,0.026,0.109,2.12,11.26,3.144,3.281,0.098,5.52,1.141,1.285
2026-05-05 18:00:52,robin_observed.csv,0.2817761676594637624058396133,1.202,1.048,0.539,0.438,0.519,0.302,2.12,10.92,1.375,5.499,0.341,8.0,1.609,1.389
2026-05-05 18:00:52,robin_observed.csv,1.070452910105920731381893048,1.569,0.597,0.872,0.36,0.078,0.005,2.33,10.99,2.757,2.499,0.205,5.52,1.198,0.916
2026-05-05 18:00:52,robin_observed.csv,0.6808450453387485505460242184,1.705,1.338,0.993,0.189,0.498,0.185,1.16,11.64,3.758,1.323,0.175,7.76,1.574,1.056
2026-05-05 18:00:52,robin_observed.csv,0.4121193862733643041468645876,0.711,0.277,0.807,0.203,0.129,0.104,1.05,10.99,1.137,1.685,0.184,6.2,1.803,1.386
2026-05-05 18:00:53,robin_observed.csv,0.7494601532326293307117970828,1.855,0.348,0.526,0.388,0.14,0.012,2.48,11.33,3.089,5.751,0.061,7.0,2.712,1.586
2026-05-05 18:00:53,robin_observed.csv,0.6113319939290364478132003635,1.302,1.32,2.069,0.126,0.861,0.076,2.42,1.23,3.153,4.253,0.281,5.73,4.755,1.027
2026-05-05 18:00:53,robin_observed.csv,0.4108383949772539253687004984,0.488,1.23,1.649,0.132,0.434,0.046,1.59,11.72,2.69,2.758,0.228,6.34,3.277,1.175
2026-05-05 18:00:54,robin_observed.csv,0.6455169039251789372457037398,1.366,0.282,1.859,0.213,0.718,0.258,2.35,1.02,1.814,4.866,0.056,6.25,2.074,1.075
2026-05-05 18:00:54,robin_observed.csv,0.3988181544947199132180032678,1.154,1.261,0.703,0.512,0.999,0.245,1.76,1.01,4.29,2.061,0.12,7.28,3.312,1.37
2026-05-05 18:00:54,robin_observed.csv,0.8678527071060125870869103252,1.565,0.274,1.882,0.244,0.231,0.071,1.82,1.38,1.193,2.294,0.198,6.94,2.644,1.096
2026-05-05 18:00:55,robin_observed.csv,0.4437617466439739804905943188,1.76,1.276,1.9,0.31,0.766,0.03,1.72,11.29,1.564,5.329,0.241,6.41,4.288,1.095
2026-05-05 18:00:55,robin_observed.csv,0.4343655209182813740294315808,0.83,0.759,0.345,0.294,0.918,0.015,11.87,1.42,4.606,4.272,0.285,6.98,1.051,1.559
2026-05-05 18:00:55,robin_observed.csv,0.3909006628938593687456925262,0.696,0.763,0.867,0.302,0.876,0.285,1.56,1.3,1.831,2.571,0.299,8.35,3.932,1.583
2026-05-05 18:00:55,robin_observed.csv,0.4045430203344106721195855666,1.796,0.458,1.8,0.065,0.752,0.159,1.72,11.56,0.898,5.094,0.185,5.58,4.233,1.726
2026-05-05 18:00:56,robin_observed.csv,0.6886064848030740226451082162,1.155,1.091,2.387,0.206,0.21,0.067,1.95,11.74,2.67,5.111,0.07,6.87,4.363,1.492
2026-05-05 18:00:56,robin_observed.csv,0.6410423921734937221892857244,1.547,1.143,1.925,0.383,1.06,0.252,2.18,1.38,4.424,5.534,0.265,5.54,3.452,1.792
2026-05-05 18:00:56,robin_observed.csv,0.4351661895832178526196486078,1.727,1.252,0.931,0.294,1.014,0.302,1.92,11.67,1.389,2.342,0.037,7.29,3.82,0.835
2026-05-05 18:00:57,robin_observed.csv,0.4960647077659148532906144057,0.903,0.608,1.916,0.232,0.807,0.229,2.13,10.63,3.867,3.302,0.04,8.34,1.747,1.012
2026-05-05 18:00:57,robin_observed.csv,0.4161912020886679115816100895,0.991,0.644,2.191,0.118,0.512,0.046,1.98,11.53,1.758,3.166,0.159,6.68,2.48,1.712
2026-05-05 18:00:57,robin_observed.csv,0.5431755342379667119888333346,1.29,1.406,1.875,0.471,0.31,0.149,1.7,11.11,1.889,4.415,0.123,6.85,2.726,1.06
2026-05-05 18:00:57,robin_observed.csv,0.5599615973780278324423839491,0.614,1.226,1.992,0.17,1.185,0.145,11.99,10.67,1.725,5.046,0.133,6.98,3.526,1.592
2026-05-05 18:00:58,robin_observed.csv,0.7116520708373050688768998493,1.158,1.031,1.645,0.301,0.581,0.037,11.7,10.52,2.283,1.643,0.289,6.51,1.102,0.875
2026-05-05 18:00:58,robin_observed.csv,0.7611078768195763120390248492,1.592,0.171,1.922,0.427,1.142,0.038,1.59,11.87,3.585,2.699,0.249,7.66,2.007,0.905
2026-05-05 18:00:58,robin_observed.csv,0.4187702018055582928957693964,0.458,0.576,1.535,0.117,1.113,0.183,1.15,1.36,1.348,1.035,0.343,7.14,2.817,1.148
2026-05-05 18:00:59,robin_observed.csv,0.4875233811868267217233907355,1.493,0.841,1.25,0.532,1.104,0.154,11.67,11.23,1.47,3.861,0.231,6.41,3.539,1.358
