TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,WINTER_WIDTH,AUTUMN_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_WIDTH,SCALE
2026-05-05 17:59:43,mute_swan_observed.csv,0.6667641245374187525773132394,1.852,0.837,0.957,0.301,0.786,0.056,1.63,10.86,3.493,4.861,0.206,4.26,1.701,1.078
2026-05-05 17:59:43,mute_swan_observed.csv,0.5292180317265852070223577910,1.631,0.723,1.807,0.262,0.443,0.219,2.2,10.77,2.587,4.595,0.254,3.89,2.6,1.547
2026-05-05 17:59:43,mute_swan_observed.csv,0.6206097743242988447357752539,0.772,0.43,0.785,0.211,0.158,0.104,1.35,11.92,1.419,4.84,0.08,6.15,3.337,1.025
2026-05-05 17:59:44,mute_swan_observed.csv,0.6900897620743126305873604047,1.802,0.548,0.483,0.352,1.0,0.157,1.88,11.62,2.163,4.011,0.223,4.97,2.706,0.821
2026-05-05 17:59:44,mute_swan_observed.csv,0.3888802448011427463393449970,1.349,1.264,0.734,0.404,0.453,0.158,2.44,11.9,3.193,2.301,0.281,6.49,3.356,1.084
2026-05-05 17:59:44,mute_swan_observed.csv,0.3855261252774911143405056611,0.644,0.374,1.644,0.251,0.43,0.076,1.85,10.38,4.942,2.781,0.208,4.24,2.036,1.577
2026-05-05 17:59:45,mute_swan_observed.csv,0.5063576328726318489843503697,1.55,1.102,0.984,0.1,1.071,0.093,11.63,10.38,4.846,1.199,0.127,3.67,2.515,1.661
2026-05-05 17:59:45,mute_swan_observed.csv,0.6798251137148085022067545248,0.59,1.494,2.434,0.221,0.415,0.183,2.33,10.07,2.626,3.268,0.084,5.73,1.151,1.778
2026-05-05 17:59:45,mute_swan_observed.csv,0.9019679303836370130482435459,0.701,1.049,2.478,0.595,0.371,0.147,11.53,9.54,4.925,2.648,0.0,6.0,1.902,1.769
2026-05-05 17:59:45,mute_swan_observed.csv,0.5302467851288407549214000266,0.549,0.234,1.16,0.299,0.552,0.207,1.72,10.75,1.448,4.065,0.332,5.44,1.439,1.529
2026-05-05 17:59:46,mute_swan_observed.csv,0.6318117297693875313995388160,0.924,0.237,1.007,0.354,0.059,0.296,2.34,10.02,2.085,5.55,0.151,4.42,2.681,1.115
2026-05-05 17:59:46,mute_swan_observed.csv,0.4036882140132991542701637828,0.698,0.428,1.92,0.422,0.473,0.055,1.57,10.03,2.23,4.511,0.156,4.93,1.281,1.029
2026-05-05 17:59:46,mute_swan_observed.csv,0.2233452076048064602221656380,0.5,1.38,2.475,0.607,0.101,0.042,2.28,11.97,3.45,4.776,0.121,3.72,2.593,1.331
2026-05-05 17:59:47,mute_swan_observed.csv,0.3393674401771924421295403480,0.668,0.426,0.976,0.265,0.446,0.057,11.73,10.82,2.483,5.286,0.248,5.96,2.859,1.091
2026-05-05 17:59:47,mute_swan_observed.csv,0.7761535403723218138234308309,1.383,0.426,1.221,0.332,0.032,0.214,1.08,11.75,4.106,2.677,0.337,5.73,2.581,0.867
2026-05-05 17:59:47,mute_swan_observed.csv,0.5085515579972431911141856677,1.596,0.685,1.272,0.529,0.411,0.13,11.84,9.66,4.627,2.408,0.255,4.12,4.571,1.081
2026-05-05 17:59:48,mute_swan_observed.csv,0.3984729677624717502225891953,1.04,0.897,1.352,0.502,1.035,0.05,2.03,10.07,1.027,2.556,0.334,6.33,3.394,1.233
2026-05-05 17:59:48,mute_swan_observed.csv,0.7746618454439217412175811399,1.466,0.514,2.033,0.369,0.47,0.282,2.27,9.53,3.089,4.75,0.079,5.07,1.664,0.903
2026-05-05 17:59:48,mute_swan_observed.csv,0.5851315612242621997876541196,0.892,1.291,0.481,0.403,0.839,0.343,11.67,9.93,3.563,1.072,0.085,6.35,3.296,1.046
