TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,WINTER_WIDTH,AUTUMN_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_WIDTH,SCALE
2026-05-05 17:54:44,goldfinch_observed.csv,0.6577470201648467358706102039,0.413,0.259,2.052,0.482,1.089,0.312,2.2,1.44,4.609,1.413,0.267,9.99,2.889,1.419
2026-05-05 17:54:44,goldfinch_observed.csv,0.8691808427886900616614619581,0.964,0.429,0.828,0.155,0.311,0.252,1.04,10.78,3.153,1.615,0.013,9.92,3.057,1.633
2026-05-05 17:54:45,goldfinch_observed.csv,0.7020946148568895331364186700,0.965,1.32,0.547,0.113,0.469,0.301,11.81,11.64,2.098,5.037,0.147,9.19,2.52,1.099
2026-05-05 17:54:45,goldfinch_observed.csv,0.5286426496594920184095283859,1.212,1.171,0.304,0.554,0.398,0.198,1.61,11.71,1.674,2.943,0.051,8.26,4.175,1.706
2026-05-05 17:54:45,goldfinch_observed.csv,1.023269883111108227443628719,1.445,0.585,1.873,0.229,0.903,0.344,1.23,11.59,4.672,1.41,0.043,9.86,2.841,1.322
2026-05-05 17:54:46,goldfinch_observed.csv,0.6391435447021807099282130954,1.093,0.242,0.981,0.286,0.328,0.18,1.65,11.75,4.651,4.534,0.253,9.92,1.724,1.623
2026-05-05 17:54:46,goldfinch_observed.csv,0.9312526494503012356898523156,1.57,0.365,1.143,0.125,1.058,0.182,1.83,11.97,3.881,3.196,0.028,7.96,2.283,1.243
2026-05-05 17:54:46,goldfinch_observed.csv,0.5970223764330314807851361177,1.431,0.357,1.004,0.529,0.466,0.032,11.64,10.73,2.833,3.553,0.325,8.05,3.23,1.479
2026-05-05 17:54:47,goldfinch_observed.csv,0.4448210012334650317323668509,1.871,1.129,0.434,0.238,1.165,0.348,1.92,1.17,1.818,4.277,0.256,8.59,4.278,1.029
2026-05-05 17:54:47,goldfinch_observed.csv,0.4835635742385404117156072811,0.465,0.582,0.69,0.11,0.318,0.066,2.39,11.65,1.665,4.742,0.27,7.69,3.157,0.987
2026-05-05 17:54:47,goldfinch_observed.csv,0.6409009323669712151745449404,0.743,0.717,0.538,0.568,0.411,0.297,1.34,11.35,4.98,1.677,0.009,8.44,4.476,1.717
2026-05-05 17:54:47,goldfinch_observed.csv,0.8669727985730885690096365250,1.576,0.572,0.973,0.34,0.756,0.115,11.95,11.23,1.092,2.54,0.215,9.36,4.724,1.164
2026-05-05 17:54:48,goldfinch_observed.csv,0.4371131484903375004632878553,1.335,0.25,0.31,0.556,0.514,0.197,1.96,11.58,1.065,2.746,0.337,9.74,1.31,1.308
2026-05-05 17:54:48,goldfinch_observed.csv,0.8168573281239394630325980942,1.075,1.458,2.247,0.076,0.538,0.265,2.03,11.85,4.201,1.387,0.299,10.03,3.006,1.541
2026-05-05 17:54:48,goldfinch_observed.csv,0.4614273865310725081961806074,1.783,0.989,0.549,0.111,1.042,0.342,2.0,11.95,1.951,2.43,0.152,8.97,3.024,1.44
2026-05-05 17:54:49,goldfinch_observed.csv,0.6383583117401298345246865764,0.728,1.194,1.78,0.517,0.184,0.186,1.63,1.29,3.545,5.92,0.257,8.27,1.97,1.71
2026-05-05 17:54:49,goldfinch_observed.csv,0.9807066561260046902958051190,1.076,0.897,1.056,0.457,0.551,0.2,11.76,10.74,2.139,2.317,0.005,8.36,2.12,1.357
2026-05-05 17:54:49,goldfinch_observed.csv,1.218668565666730775431055536,0.845,1.481,0.775,0.192,0.115,0.172,1.21,11.02,2.328,5.962,0.015,8.05,1.184,0.869
2026-05-05 17:54:50,goldfinch_observed.csv,0.4096766946349283063773960106,0.617,1.138,1.61,0.416,1.035,0.283,2.39,11.46,4.481,4.849,0.336,9.07,3.802,1.528
2026-05-05 17:54:50,goldfinch_observed.csv,0.6077044044508853189500004886,1.529,0.639,0.848,0.44,0.879,0.348,2.28,1.1,3.27,3.186,0.302,8.49,3.619,1.649
2026-05-05 17:54:50,goldfinch_observed.csv,0.7320110985598209907667449691,1.292,0.906,2.025,0.497,1.183,0.205,1.72,1.07,2.412,1.28,0.347,9.45,1.939,0.857
2026-05-05 17:54:50,goldfinch_observed.csv,0.5194739500549297710066358595,0.708,0.496,0.728,0.482,0.225,0.047,2.11,11.8,2.688,2.258,0.034,8.3,3.615,1.271
2026-05-05 17:54:51,goldfinch_observed.csv,1.705698446020729626921579698,1.125,0.699,1.483,0.079,0.309,0.011,11.55,11.14,4.812,3.801,0.256,8.38,1.327,0.806
2026-05-05 17:54:51,goldfinch_observed.csv,0.4158979717153204237146161224,0.645,1.186,1.049,0.415,0.846,0.12,2.31,1.42,1.826,5.751,0.201,8.77,3.034,1.442
2026-05-05 17:54:51,goldfinch_observed.csv,1.137990117815703690242697415,1.799,1.076,1.354,0.172,0.662,0.188,1.53,10.9,2.499,5.851,0.02,8.88,1.694,1.011
2026-05-05 17:54:52,goldfinch_observed.csv,1.001649557839707766377126436,0.897,0.467,0.377,0.257,0.061,0.116,2.13,11.21,0.969,1.579,0.142,7.78,1.302,0.86
2026-05-05 17:54:52,goldfinch_observed.csv,0.5738332263603422031497523599,1.644,0.798,0.574,0.241,0.61,0.118,1.73,11.29,2.802,3.295,0.265,9.01,1.614,1.704
2026-05-05 17:54:52,goldfinch_observed.csv,0.8352122985813046913262983557,0.909,0.662,1.857,0.512,0.823,0.124,2.42,11.83,4.479,2.728,0.145,9.88,3.308,0.999
2026-05-05 17:54:53,goldfinch_observed.csv,1.043379453573471199891077402,1.651,0.536,1.117,0.419,0.552,0.075,11.96,10.93,2.065,3.093,0.204,10.28,3.276,1.57
2026-05-05 17:54:53,goldfinch_observed.csv,0.8573932417245616642715297474,1.034,1.325,1.278,0.068,1.024,0.223,11.8,10.81,1.272,4.203,0.261,8.55,1.246,0.94
2026-05-05 17:54:53,goldfinch_observed.csv,0.7845091178780588238190707698,1.831,1.314,1.917,0.375,1.12,0.109,11.95,11.2,1.092,1.894,0.028,8.1,2.447,1.329
2026-05-05 17:54:53,goldfinch_observed.csv,0.3340667330239111325158064728,0.968,1.334,1.917,0.425,0.947,0.23,2.02,1.26,0.823,4.324,0.329,7.94,4.862,1.228
