TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,AUTUMN_ONSET,AUTUMN_GATE_SHARPNESS,WINTER_WIDTH,WINTER_RISE_WIDTH,WINTER_FALL_WIDTH,AUTUMN_WIDTH,AUTUMN_RISE_WIDTH,AUTUMN_FALL_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_WIDTH,SUMMER_RISE_WIDTH,SUMMER_FALL_WIDTH,SCALE,YEAR_END_WEIGHT,YEAR_END_PEAK,YEAR_END_WIDTH,YEAR_END_RISE_WIDTH,YEAR_END_FALL_WIDTH
2026-05-06 21:53:22,great_tit_observed.csv,0.6767241183701594440725000034,0.92,2.822,5.837,0.142,0.533,0.042,4.48,10.98,10.92,10.401,6.831,6.102,7.56,4.943,1.229,8.657,0.19,7.59,5.896,8.594,3.198,1.249,0.349,12.029,84.775,154.662,14.888
2026-05-06 21:53:22,great_tit_observed.csv,1.703241309544510714482790977,1.059,3.311,5.412,0.29,0.529,0.019,5.4,10.71,11.0,8.133,2.742,3.413,2.07,6.383,8.283,4.483,0.069,8.98,8.790,11.66,5.92,0.843,0.216,12.098,66.656,119.971,13.342
2026-05-06 21:53:22,great_tit_observed.csv,0.7599253556341400302361805177,0.583,0.31,4.644,0.179,0.648,0.024,4.12,11.82,9.29,4.003,18.017,20.000,16.034,4.156,3.682,4.629,0.107,7.77,12.077,11.794,12.36,1.115,0.072,12.073,81.572,156.251,6.893
2026-05-06 21:53:23,great_tit_observed.csv,0.5767913861885101340816530785,0.916,3.718,1.613,0.264,0.01,0.003,4.3,11.72,9.51,11.753,13.090,13.665,12.514,7.770,3.412,12.129,0.126,6.55,10.786,9.274,12.298,1.312,0.152,12.205,54.650,103.405,5.896
2026-05-06 21:53:23,great_tit_observed.csv,0.7985590434709472582374190508,0.651,0.826,2.828,0.415,0.346,0.002,2.87,1.49,10.08,7.759,15.838,17.806,13.871,8.276,7.288,9.264,0.158,9.15,10.347,11.413,9.281,1.581,0.078,12.118,79.878,149.5,10.257
2026-05-06 21:53:23,great_tit_observed.csv,0.5583103532855094463925173439,0.823,2.164,1.793,0.165,0.657,0.013,2.94,11.73,10.08,5.252,7.384,1.265,13.502,6.252,3.977,8.527,0.201,6.79,4.475,4.818,4.132,1.03,0.239,12.103,121.764,230.559,12.969
2026-05-06 21:53:23,great_tit_observed.csv,0.6762248200167126808525302993,0.847,3.569,3.06,0.239,0.706,0.021,4.93,11.9,9.28,2.088,15.633,14.750,16.516,12.738,12.04,13.435,0.212,9.03,4.539,4.528,4.55,0.989,0.127,12.186,108.414,206.617,10.21
2026-05-06 21:53:24,great_tit_observed.csv,0.1319741431321495269481616000,0.924,0.384,3.435,0.232,0.611,0.01,3.73,10.65,9.5,4.153,8.280,13.298,3.261,10.237,12.621,7.853,0.218,8.33,1.222,1.274,1.171,1.726,0.229,12.18,88.064,166.849,9.278
2026-05-06 21:53:24,great_tit_observed.csv,0.4308170355272355322631611104,0.584,2.337,0.661,0.1,0.464,0.016,4.64,11.84,9.84,9.339,12.894,13.174,12.613,3.938,7.246,0.629,0.075,8.73,1.401,1.466,1.336,1.483,0.058,12.171,49.972,91.737,8.207
2026-05-06 21:53:24,great_tit_observed.csv,0.8585011717734700768174537952,0.709,3.537,3.656,0.267,0.351,0.041,5.38,11.97,10.75,8.47,15.823,15.384,16.262,9.066,4.18,13.953,0.062,8.54,4.652,5.128,4.177,1.168,0.069,12.259,113.464,219.846,7.081
