TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,AUTUMN_ONSET,AUTUMN_GATE_SHARPNESS,WINTER_WIDTH,WINTER_RISE_WIDTH,WINTER_FALL_WIDTH,AUTUMN_WIDTH,AUTUMN_RISE_WIDTH,AUTUMN_FALL_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_WIDTH,SUMMER_RISE_WIDTH,SUMMER_FALL_WIDTH,SCALE,YEAR_END_WEIGHT,YEAR_END_PEAK,YEAR_END_WIDTH,YEAR_END_RISE_WIDTH,YEAR_END_FALL_WIDTH
2026-05-06 21:55:25,jay_observed.csv,2.206298810148599104318248292,0.894,3.823,5.094,0.07,0.176,0.001,9.43,8.62,11.11,11.573,14.345,11.231,17.459,9.568,13.163,5.973,0.167,8.72,11.177,10.554,11.8,1.017,0.245,12.243,90.821,171.298,10.344
2026-05-06 21:55:25,jay_observed.csv,1.321537447389795994812943267,0.928,2.423,0.911,0.03,0.588,0.043,9.32,9.89,10.58,8.001,10.390,19.537,1.243,9.306,9.718,8.895,0.162,7.32,7.668,2.031,13.305,1.026,0.318,12.199,65.649,117.368,13.93
2026-05-06 21:55:26,jay_observed.csv,1.033761779639671545778964084,0.985,0.277,5.809,0.07,0.44,0.014,10.46,10.5,11.31,7.245,10.365,0.803,19.927,5.982,10.038,1.927,0.175,7.92,3.274,5.078,1.47,1.667,0.024,12.283,66.678,120.231,13.126
2026-05-06 21:55:26,jay_observed.csv,1.293323009939132226350128946,0.907,3.42,1.584,0.012,0.64,0.015,10.77,11.07,10.2,11.338,12.354,12.586,12.122,9.884,13.324,6.445,0.084,7.97,6.485,1.027,11.943,1.069,0.021,12.199,120.888,225.945,15.832
2026-05-06 21:55:26,jay_observed.csv,1.863105723527685597428631971,0.696,1.702,2.809,0.062,0.02,0.048,10.51,10.47,10.28,6.954,16.058,17.366,14.75,10.784,13.423,8.146,0.003,7.82,2.266,3.268,1.263,1.288,0.095,12.026,64.216,115.706,12.726
2026-05-06 21:55:27,jay_observed.csv,1.644881983013556654350118473,0.944,1.918,2.7,0.05,0.639,0.008,10.73,8.87,10.63,5.243,7.170,3.212,11.128,4.084,0.818,7.351,0.186,8.3,4.895,0.468,9.322,0.909,0.141,12.151,48.658,85.909,11.406
2026-05-06 21:55:27,jay_observed.csv,6.136909536461123599938978005,1.001,3.574,3.011,0.014,0.233,0.036,8.74,10.39,9.84,9.985,6.914,9.049,4.78,8.634,4.578,12.69,0.13,7.31,5.821,2.219,9.423,1.101,0.054,12.199,68.598,130.805,6.392
2026-05-06 21:55:27,jay_observed.csv,5.573715540276992765815240078,0.69,2.868,1.165,0.0,0.456,0.002,9.15,9.22,10.64,5.626,14.114,19.371,8.856,10.100,13.447,6.754,0.137,8.69,11.265,11.478,11.052,0.847,0.147,12.185,44.112,82.136,6.088
2026-05-06 21:55:27,jay_observed.csv,1.293650634384136741409780328,0.656,1.91,5.463,0.076,0.048,0.015,10.45,8.57,10.9,2.725,9.540,13.305,5.774,9.955,9.466,10.444,0.204,6.52,11.926,12.403,11.448,1.556,0.24,12.258,97.807,185.314,10.3
2026-05-06 21:55:28,jay_observed.csv,0.7296069516286998153478386052,1.167,2.389,1.483,0.032,0.508,0.043,10.75,8.95,10.53,9.182,10.346,12.558,8.133,8.384,5.676,11.092,0.113,8.0,9.768,7.163,12.372,1.542,0.208,12.113,55.225,105.822,4.628
2026-05-06 21:55:28,jay_observed.csv,1.154483315255512391410187045,1.237,2.659,2.631,0.059,0.043,0.047,8.9,11.49,10.61,8.826,2.462,3.186,1.738,10.623,11.756,9.490,0.037,7.14,6.630,2.256,11.004,1.753,0.181,12.282,102.168,197.78,6.555
2026-05-06 21:55:28,jay_observed.csv,1.919760056541617887990545987,0.922,0.624,3.475,0.089,0.484,0.04,11.3,10.57,10.08,9.246,17.894,16.465,19.324,8.302,13.867,2.736,0.136,7.41,6.147,10.87,1.424,1.096,0.28,12.132,116.511,220.219,12.803
2026-05-06 21:55:29,jay_observed.csv,1.665728231480738129945349743,0.802,1.7,4.235,0.077,0.239,0.009,11.26,9.42,11.07,7.956,14.818,12.914,16.723,7.430,8.455,6.405,0.102,9.28,8.662,7.849,9.474,1.518,0.101,12.049,56.591,108.402,4.78
2026-05-06 21:55:29,jay_observed.csv,1.900756363953461158266383333,0.731,2.001,5.444,0.06,0.057,0.012,8.91,8.94,9.82,6.983,9.260,8.378,10.143,6.404,6.635,6.174,0.04,7.22,7.124,7.673,6.576,1.512,0.158,12.185,102.304,199.797,4.811
