month,observed,simulated_raw,synthesised
1,0,6.313314917e-11,1.2697205894740159e-09
2,0,3.01632287e-06,6.066364980824155e-05
3,0,0.05972176659999999,1.2011115822464775
4,21,0.9664538,19.437115125226736
5,16,0.8658714,17.414223096273457
6,2,0.16427403299999999,3.303844727504093
7,0,0.0001331113098,0.0026771066067020704
8,0,8.248130009999999e-09,1.6588465229502696e-07
9,0,3.810494317e-13,7.66358585620453e-12
10,0,1.619858334e-17,3.257824939434868e-16
11,0,6.7996761629999995e-22,1.367536538161379e-20
12,0,2.8894077550000005e-26,5.81111597653793e-25
