month,observed,simulated_raw,synthesised
1,0,1.0528266550000002e-14,4.582603931368401e-13
2,0,1.852816508e-10,8.064693435848725e-09
3,0,2.106385042e-06,9.16839284853098e-05
4,2,0.01586988546,0.6907632814384075
5,44,0.7563063999999999,32.91949976284635
6,62,1.4294090000000002,62.21741510651034
7,34,0.9286395000000001,40.420585889554495
8,14,0.4015174,17.47671572537094
9,7,0.2548243,11.091653440216145
10,8,0.055733287,2.425884440722897
11,2,5.250957350000001e-05,0.0022855669241730776
12,0,4.006321455e-09,1.7438183544097837e-07
