month,observed,simulated_raw,synthesised
1,1,0.000708999717,0.0348898744831743
2,9,0.273410795,13.454544608647423
3,48,1.1324013000000002,55.72546543284926
4,79,1.399511,68.86993317068101
5,33,0.7644116000000001,37.6166931213069
6,14,0.3636343,17.89444308731219
7,13,0.23489590000000002,11.559226712092274
8,8,0.11431138999999998,5.625263245481923
9,5,0.029892763,1.4710228001759227
10,6,0.0026527499999999997,0.13054182154947264
11,4,0.0006751175,0.03322253066060733
12,0,1.88125985e-06,9.257679299854404e-05
