TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,WINTER_WIDTH,AUTUMN_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_WIDTH
2026-05-23 20:04:38,shoveler_observed.csv,0.1732473491790541394552721089,1.01,0.716,2.495,0.0,1.463,0.153,2.45,11.28,1.258,2.688,0.254,6.99,2.492
2026-05-23 20:04:38,shoveler_observed.csv,0.1804839714784726632907482993,0.876,1.432,1.297,0.0,1.354,0.527,1.34,10.79,2.265,3.965,0.101,7.27,1.611
2026-05-23 20:04:38,shoveler_observed.csv,0.2973578949290732474448091458,0.989,1.955,2.138,0.0,1.311,0.071,11.97,10.77,0.904,3.507,0.154,6.77,4.818
2026-05-23 20:04:39,shoveler_observed.csv,0.1797085910698467811664122484,1.117,0.942,3.091,0.0,1.356,0.524,1.32,10.71,2.056,2.459,0.395,6.28,1.432
2026-05-23 20:04:39,shoveler_observed.csv,0.1242845361900145926317185148,1.184,1.6,2.262,0.0,1.221,0.264,1.51,11.23,3.181,1.949,0.394,6.32,1.902
2026-05-23 20:04:39,shoveler_observed.csv,0.1648469567015295597967139078,1.108,1.726,1.331,0.0,1.111,0.577,2.36,11.63,3.576,1.084,0.178,6.73,4.997
2026-05-23 20:04:40,shoveler_observed.csv,0.2787880703102634868764625849,0.985,0.695,0.652,0.0,0.994,0.731,11.73,10.56,1.736,2.801,0.283,5.55,1.252
2026-05-23 20:04:40,shoveler_observed.csv,0.1881262692982704150675238284,0.845,0.912,0.953,0.0,0.924,0.718,1.19,10.45,3.873,4.586,0.373,6.03,4.598
2026-05-23 20:04:40,shoveler_observed.csv,0.1812324908431731882091583522,0.917,1.819,2.332,0.0,1.28,0.418,1.19,10.4,3.431,4.548,0.143,6.14,1.622
2026-05-23 20:04:41,shoveler_observed.csv,0.149701289387245577704967876,1.219,1.375,2.182,0.0,0.854,0.704,1.67,11.17,2.166,4.806,0.023,5.86,4.312
2026-05-23 20:04:41,shoveler_observed.csv,0.2943658647815602077541742251,0.741,1.917,0.924,0.0,0.845,0.707,11.61,11.67,2.138,2.534,0.229,5.57,1.535
2026-05-23 20:04:41,shoveler_observed.csv,0.08042056375398361926170068028,1.171,0.514,1.15,0.0,1.469,0.187,1.04,10.34,3.674,5.413,0.02,5.72,4.168
2026-05-23 20:04:41,shoveler_observed.csv,0.09580880699377321872646527546,1.02,1.187,2.492,0.0,1.064,0.025,1.16,10.85,3.663,3.151,0.382,7.19,2.53
2026-05-23 20:04:42,shoveler_observed.csv,0.3230274651316288722552612461,0.932,1.649,2.251,0.0,1.257,0.186,11.52,11.71,2.622,2.365,0.272,6.82,2.08
