month,observed,simulated_raw,synthesised
1,0,2.094806502e-11,1.0377407603346252e-09
2,0,2.951853322e-07,1.4623109618210307e-05
3,0,0.0032326086909999995,0.16013936359562897
4,29,0.5596427800000001,27.72399854012786
5,65,1.33217,65.99402414376208
6,45,0.7679322,38.04239409953108
7,12,0.37597369999999997,18.625263618922176
8,3,0.2389599,11.837772514011702
9,4,0.11172755000000001,5.534842123920659
10,7,0.006268392959999999,0.3105282931944332
11,3,7.42200197e-07,3.6767663076276275e-05
12,0,8.56435637e-11,4.2426742912508345e-09
