month,observed,simulated_raw,synthesised
1,0,8.97195012e-10,2.0372756884139636e-08
2,0,2.2736914699999997e-06,5.1629091700581214e-05
3,0,0.0032634363,0.07410339274910746
4,3,0.36964308,8.393547112970996
5,27,1.2061974,27.38932568261016
6,35,1.521481,34.54852301033263
7,30,1.2139836000000002,27.566128225568672
8,8,0.473629,10.754772754218314
9,5,0.0292109153,0.6632971291754071
10,0,4.73506218e-05,0.0010751984722851338
11,0,3.44101087e-08,7.813560814824483e-07
12,0,1.445335957e-11,3.2819484809915883e-10
