month,observed,simulated_raw,synthesised
1,0,6.10511414e-11,3.7748418178087295e-09
2,0,3.760945858e-07,2.3254234685435268e-05
3,0,0.001840774816,0.11381660675398887
4,26,0.44063382000000006,27.244748123198967
5,86,1.298461,80.28490162828865
6,31,0.6976066,43.13358449444758
7,20,0.1821191,11.260572345363059
8,1,0.000741016468,0.0458176520036581
9,1,1.455590793e-07,9.00003647603183e-06
10,0,1.642350788e-11,1.0154788742497645e-09
11,0,8.375760649999999e-16,5.1788010563839876e-14
12,0,2.52068843e-19,1.5585621950764433e-17
