month,observed,simulated_raw,synthesised
1,0,3.39340155e-18,3.376977234752797e-17
2,0,1.141714758e-13,1.13618877387125e-12
3,0,6.50779011e-10,6.476291923076242e-09
4,0,2.301942226e-06,2.2908006548527035e-05
5,0,0.00601620152,0.059870826583211696
6,8,0.58321515,5.80392345407203
7,13,1.581964,15.743071768793392
8,13,0.9982888000000001,9.93457008148266
9,0,0.01083589922,0.10783452663895787
10,0,5.15495982e-06,5.130009432041834e-05
11,0,1.8617292600000002e-09,1.852718352266083e-08
12,0,5.20802627e-13,5.182819036487009e-12
