month,observed,simulated_raw,synthesised
1,24,1.0054409999999998,22.265643799312848
2,26,1.0037664,22.228559527728216
3,14,0.7060881999999999,15.636430533564846
4,1,0.26499528,5.868360762072736
5,0,0.0327471,0.7251895079477343
6,0,0.0030400915,0.06732328844389548
7,0,0.00028223129999999997,0.006250055045315443
8,0,2.6201312999999998e-05,0.000580232059695502
9,0,0.002492958866,0.05520695308495964
10,0,0.05892069,1.304807637593588
11,0,0.2158141,4.779236054098932
12,6,0.46177399999999996,10.226055432177416
