month,observed,simulated_raw,synthesised
1,0,0.00027395945129999997,0.0007897931669974947
2,1,0.285873891,0.8241411079756628
3,4,1.348302,3.886997515858494
4,1,0.49024853999999995,1.4133294003370562
5,0,0.000452265703,0.0013038293083218713
6,0,4.80097761e-08,1.3840658875950828e-07
7,0,4.380857452e-12,1.2629501427168523e-11
8,0,3.0393568269999996e-16,8.762111482706808e-16
9,0,1.254088858e-20,3.6153920084015425e-20
10,0,7.287597670000001e-25,2.1009294683139355e-24
11,0,4.80324897e-28,1.384720694209448e-27
12,0,1.8480681779999998e-31,5.327765157229711e-31
