month,observed,simulated_raw,synthesised
1,9,0.6691594000000001,11.416044262588507
2,11,0.5831147999999999,9.94809961119943
3,7,0.46809880000000004,7.985894870586239
4,8,0.2965552,5.059313654565395
5,4,0.1898493,3.2388815161551108
6,2,0.1424679,2.430541739977101
7,3,0.08188976,1.3970619329456477
8,3,0.049021560000000006,0.8363213589783515
9,2,0.026251234000000002,0.4478533056422257
10,0,0.000395213687,0.006742454703577055
11,5,0.01088017414,0.18561877718061023
12,4,0.17417403,2.9714570786473575
