month,observed,simulated_raw,synthesised
1,0,9.20112331e-11,1.9730768758311943e-09
2,0,1.125530375e-06,2.413572648835757e-05
3,0,0.01016961868,0.21807597591612926
4,19,0.7025151999999999,15.06464427591642
5,21,1.0959516,23.501443097062445
6,0,0.031270600800000006,0.6705626829799377
7,0,8.43256222e-06,0.00018082676386052868
8,0,1.5787099949999999e-09,3.385365112314835e-08
9,0,2.67762893e-13,5.741872536473618e-12
10,0,4.33914347e-17,9.304802634550203e-16
11,0,6.92684551e-21,1.4853837121585252e-19
12,0,1.108481324e-24,2.3770128863484886e-23
